prates	8	53	79,600
plates	11	45	76,000
slater	12	40	72,000
crates	8	39	62,800
spacer	9	35	60,000
inters	10	33	59,600
daters	6	38	57,600
tables	7	36	57,200
maters	8	34	56,800
satire	6	36	55,200
poster	9	31	55,200
teaser	9	31	55,200
pearls	4	38	53,600
drapes	7	33	53,600
stripe	8	31	53,200
toners	8	31	53,200
shaper	10	27	52,400
praise	6	33	51,600
waters	4	36	51,200
gaters	8	29	50,800
skater	6	32	50,400
enters	9	27	50,400
antres	4	34	48,800
taters	7	29	48,800
haters	3	35	48,000
sailer	6	30	48,000
oaters	4	33	47,600
miters	7	28	47,600
stares	7	28	47,600
spares	9	24	46,800
aiders	7	27	46,400
slates	7	27	46,400
breast	5	30	46,000
stayer	5	30	46,000
lathes	5	30	46,000
deltas	6	28	45,600
grapes	6	28	45,600
breads	7	26	45,200
leaser	8	24	44,800
listed	6	27	44,400
cranes	6	27	44,400
clears	6	27	44,400
castle	5	28	43,600
operas	3	31	43,200
metals	3	31	43,200
ladies	6	26	43,200
aimers	6	26	43,200
silent	6	26	43,200
lavers	7	24	42,800
stower	7	24	42,800
raters	8	22	42,400
